,text,coord,place,hashtags,formatted_text,sentiment,neg,neu,pos,compound
44,"@milk__sex 
ご応募ありがとうございます！
5/18まで使える「ウチカフェスイーツ各種20円引券」を差し上げます。ほっとひと息はウチカフェスイーツで♪次回もチャレンジして下さい(^^)
クーポンの使い方:… https://t.co/spAvQnALWQ",,,nan,   ****                 5 18                 20                                                            ,neutral,0.0,1.0,0.0,0.0
45,"RT @ClaraJeffery: 9/ All the ""breast milk is free"" remarks I see far too many ignorant men (and some women) make on here just hammer home h…",,,nan, 9  All the  breast milk is free  remarks I see far too many ignorant men  and some women  make on here just hammer home h ,positive,0.083,0.787,0.13,0.296
46,"RT @Milk_cosplay_5: 見つめ合う青春🍀

花垣武道: @piasu_cheese 
橘   日向 : @Milk_cosplay_5 

camera  : @haduki1996 https://t.co/Y70aoIoeYP",,,nan,                   cheese             cosplay 5   camera       ,neutral,0.0,1.0,0.0,0.0
47,RT @Kamaraja6969: Dairy milk https://t.co/L9oniRhYl4,,,nan, Dairy milk  ,neutral,0.0,1.0,0.0,0.0
48,@monaturner13 @MaryLTrump Women are not milk machines,,,nan,    Women are not milk machines,neutral,0.0,1.0,0.0,0.0
49,@hiki_milk 好きだお( -ω- `)💕,,,nan,  milk              ,neutral,0.0,1.0,0.0,0.0
50,RT @eddiespikaagaba: My @MbararaCityUg peeps are u ready for the long walk? @johnniewalkerug brings us this exciting experience to our city…,,,nan, My   peeps are u ready for the long walk    brings us this exciting experience to our city ,positive,0.0,0.691,0.309,0.7391
51,RT @liz_churchill_: Pf1zer states not to ‘breast feed’… ‘suddenly’ there’s a Formula shortage…’suddenly’ Gates magically appears with ‘Synt…,,,nan, Pf1zer states not to  breast feed    suddenly  there s a Formula shortage  suddenly  Gates magically appears with  Synt ,negative,0.118,0.882,0.0,-0.25
52,"#BiggBossNonStop @DisneyPlusHSTel konchem manchi manasu chesukuni Milk vadalochu ga kadara.

Appudu prekshakula man… https://t.co/cVB9mHSTxn",,,['BiggBossNonStop'], BiggBossNonStop   konchem manchi manasu chesukuni Milk vadalochu ga kadara   Appudu prekshakula man   ,neutral,0.0,1.0,0.0,0.0
53,@Azianoona burger .milk,,,nan,  burger  milk,neutral,0.0,1.0,0.0,0.0
54,@RawBeautyKristi Agreed!!! I breastfed for 22 months and would never ever tell a mom they should just breastfeed th… https://t.co/oqF1e0JMOl,,,nan,  Agreed    I breastfed for 22 months and would never ever tell a mom they should just breastfeed th   ,positive,0.0,0.877,0.123,0.2732
55,RT @HiddenFigure___: Milk Marie by Rich Homie Quan gone forever be fire,,,nan, Milk Marie by Rich Homie Quan gone forever be fire,positive,0.171,0.571,0.257,0.296
56,@BetteMidler Some women can’t. One of my babes was only 8 weeks old when my milk stopped!,,,nan,  Some women can t  One of my babes was only 8 weeks old when my milk stopped ,negative,0.119,0.881,0.0,-0.2263
57,@snowflw_min milk &amp; mochi,,,nan,  min milk  amp  mochi,neutral,0.0,1.0,0.0,0.0
58,RT @kafaak: ก่อนอื่นต้องทำความเข้าใจก่อนว่า เลือดกลายเป็นแบบนั้นได้ยังไง พอลองไปค้น Google ด้วยคำว่า blood looks like milk ก็เจอบทความแบบ…,,,nan,                                                                         Google           blood looks like milk                ,positive,0.0,0.615,0.385,0.3612
59,"RT @Morecoldbeer: @EliseStefanik Too bad, so sad. The pallet of infant formula that you are complaining about, you twit, is NIDO. It is mad…",,,nan,   Too bad  so sad  The pallet of infant formula that you are complaining about  you twit  is NIDO  It is mad ,negative,0.424,0.576,0.0,-0.9098
60,"RT @AkureHowFar: Tag someone you'll like to see at the Akure Twitter Garri Hangout 😅🥁

FREE BUSHMEAT FOR THE FIRST 20 TO MAKE PAYMENT💃

Ext…",,,nan, Tag someone you ll like to see at the Akure Twitter Garri Hangout     FREE BUSHMEAT FOR THE FIRST 20 TO MAKE PAYMENT   Ext ,positive,0.0,0.763,0.237,0.7603
61,"RT @AkureHowFar: Tag someone you'll like to see at the Akure Twitter Garri Hangout 😅🥁

FREE BUSHMEAT FOR THE FIRST 20 TO MAKE PAYMENT💃

Ext…",,,nan, Tag someone you ll like to see at the Akure Twitter Garri Hangout     FREE BUSHMEAT FOR THE FIRST 20 TO MAKE PAYMENT   Ext ,positive,0.0,0.763,0.237,0.7603
62,RT @vermagag: @Rssamul @Amul_Coop Instead of sending buffaloes to slaughterhouses our innocent dairy farmer should send them to their offic…,,,nan,     Coop Instead of sending buffaloes to slaughterhouses our innocent dairy farmer should send them to their offic ,positive,0.0,0.87,0.13,0.34
63,@9636_milk ちょ〜かぁいいよおおおニヤニヤ https://t.co/nttbaWY7wH,,,nan,  milk                  ,neutral,0.0,1.0,0.0,0.0
64,"RT @Athecheat1: @ALittleLucky9er @EEEaley @DrScottHadland I've wanted expansion of milk banks for decades, and finding lactating people, wh…",,,nan,       I ve wanted expansion of milk banks for decades  and finding lactating people  wh ,neutral,0.0,1.0,0.0,0.0
65,"@RDValerie Ten dollars for a glass of milk?!

Americano is c £3 here with cream on the side and I think that's expensive!",,,nan,  Ten dollars for a glass of milk    Americano is c  3 here with cream on the side and I think that s expensive ,neutral,0.0,1.0,0.0,0.0
66,@hiki_milk 私も！,,,nan,  milk    ,neutral,0.0,1.0,0.0,0.0
67,"RT @elohour: anyways, if u drink milk straight you’re weird",,,nan, anyways  if u drink milk straight you re weird,positive,0.177,0.625,0.198,0.0516
68,"@procyoncalor Yep, found some tasty crumbs there while looking for eggs and milk to steal &amp; they were so good i jus… https://t.co/ulq0yNoU8V",,,nan,  Yep  found some tasty crumbs there while looking for eggs and milk to steal  amp  they were so good i jus   ,positive,0.122,0.65,0.227,0.4101
69,Baby formula shortage fueling spike in milk bank interest https://t.co/7bj2bBOsFd via @MailOnline,,,nan,Baby formula shortage fueling spike in milk bank interest   via  ,positive,0.154,0.615,0.231,0.25
70,"RT @PrimcessPamcake: Tell to me honestly, do I’m have Milk Nose https://t.co/kOmwx5C73K",,,nan, Tell to me honestly  do I m have Milk Nose  ,positive,0.0,0.7,0.3,0.4588
71,"RT @Nher_who: Kashmiri Pandits are protesting against the Govt for failure to provide them security

Anupam Kher &amp; Vivek Agnihotri have not…",,,nan, Kashmiri Pandits are protesting against the Govt for failure to provide them security  Anupam Kher  amp  Vivek Agnihotri have not ,negative,0.239,0.667,0.094,-0.5719
72,@isaacwells111 @bod_republic Lol... It's peak milk,,,nan,    republic Lol    It s peak milk,positive,0.0,0.588,0.412,0.4215
73,@Pistachio_milk_ @Yuitaro_1206 @NEO80612752 いつやろ〜？明日あいてますか？🥰,,,nan,  milk    1206                   ,neutral,0.0,1.0,0.0,0.0
