Periods,Volume,Fat content,Butter,Cheese,Milk powder|Skimmed-milk powder,Concentrated milk
2013 November,970.15,4.50,9.24,65.50,4.89,31.70
2013 October,1011.41,4.42,10.48,69.01,5.71,26.51
2013 September,986.11,4.30,7.82,64.66,4.52,26.67
2014 April,1081.73,4.37,12.71,65.52,5.63,32.54
2014 August,1036.47,4.18,11.15,63.67,5.37,30.15
2014 December,1033.60,4.52,12.73,64.10,6.42,33.60
2014 February,980.19,4.47,13.39,61.28,5.49,31.32
2014 January,1073.92,4.46,13.33,69.00,5.58,32.34
2014 July,1051.62,4.15,10.73,67.01,5.28,33.49
2014 June,1045.57,4.18,10.43,62.11,5.18,34.45
2014 March,1084.19,4.44,13.85,66.90,6.32,28.44
2014 May,1094.42,4.28,11.91,67.07,6.22,32.04
2014 November,977.13,4.44,10.39,60.14,4.68,30.41
2014 October,1015.98,4.36,9.93,63.88,4.55,32.99
2014 September,998.22,4.26,9.98,61.26,4.36,30.43
2015 April,1100.42,4.42,12.38,70.25,5.83,34.79
2015 August,1147.06,4.21,12.23,72.74,5.37,32.73
2015 December,1205.30,4.47,15.24,75.95,5.35,36.63
2015 February,954.31,4.52,11.30,60.46,5.96,34.25
2015 January,1051.82,4.51,13.04,67.16,6.30,29.52
2015 July,1162.18,4.17,12.04,72.94,5.64,32.88
2015 June,1145.60,4.24,11.90,71.07,5.87,33.05
2015 March,1061.83,4.49,11.40,68.66,5.78,34.58
2015 May,1166.53,4.28,13.39,74.20,6.30,36.95
2015 November,1112.57,4.48,12.87,68.93,5.74,36.95
2015 October,1132.08,4.45,12.60,73.69,5.82,32.37
2015 September,1091.19,4.34,9.18,68.93,4.63,33.08
2016 April,1218.59,4.47,14.63,75.64,6.32,25.87
2016 August,1202.38,4.22,12.46,72.50,4.20,31.55
2016 December,1204.71,4.58,12.57,75.60,5.96,28.75
2016 February,1161.34,4.53,15.80,72.49,6.40,32.51
2016 January,1214.75,4.51,16.19,76.33,6.92,33.37
2016 July,1218.90,4.19,12.22,74.26,5.93,31.10
2016 June,1199.72,4.24,13.27,72.36,6.17,31.21
2016 March,1239.91,4.55,16.33,76.77,5.99,35.75
2016 May,1263.12,4.35,14.84,76.35,7.22,31.11
2016 November,1112.73,4.55,12.14,70.74,4.75,28.78
2016 October,1154.34,4.44,12.09,73.59,5.32,31.57
2016 September,1133.95,4.22,8.76,71.19,5.02,30.66
2017 April,1213.51,4.40,13.21,73.06,5.83,28.79
2017 August,1182.40,4.20,11.39,75.78,4.05,36.23
2017 December,1202.80,4.51,14.08,74.86,6.82,27.69
2017 February,1120.51,4.52,12.44,68.00,5.42,31.71
2017 January,1227.14,4.54,14.04,75.70,6.09,31.90
2017 July,1193.23,4.17,10.74,73.43,4.12,31.56
2017 June,1194.28,4.17,12.26,71.10,5.27,32.05
2017 March,1248.57,4.45,12.04,75.74,5.35,30.31
2017 May,1255.67,4.29,12.74,72.98,5.63,29.02
2017 November,1144.45,4.47,12.58,69.91,6.06,27.62
2017 October,1172.60,4.39,13.76,72.40,5.88,30.09
2017 September,1140.77,4.31,9.74,71.29,5.24,30.02
2018 April,1193.00,4.40,13.99,73.71,5.85,22.76
2018 August,1147.89,4.17,11.67,72.95,4.61,31.22
2018 December,1128.48,4.54,13.50,74.63,4.97,31.51
2018 February,1107.35,4.53,13.58,68.21,5.65,26.97
2018 January,1229.45,4.47,13.40,75.27,7.22,29.28
2018 July,1179.54,4.14,12.29,73.37,5.23,28.53
2018 June,1176.35,4.11,11.71,71.34,6.12,28.49
2018 March,1216.67,4.54,14.25,76.89,6.17,27.25
2018 May,1237.62,4.26,14.89,74.74,5.54,27.47
2018 November,1066.59,4.53,11.36,72.31,3.43,32.94
2018 October,1108.84,4.41,12.64,73.52,4.69,29.45
2018 September,1089.15,4.31,10.38,71.96,5.54,27.44
2019 April,1174.33,4.39,12.34,79.44,6.16,32.93
2019 August,1158.40,4.23,10.29,76.60,5.13,31.76
2019 December,1170.93,4.57,11.96,74.82,7.04,31.89
2019 February,1087.91,4.53,11.43,74.78,5.57,32.64
2019 January,1167.79,4.53,11.23,80.40,5.52,33.36
2019 July,1162.62,4.21,11.55,77.48,5.06,32.52
2019 June,1145.23,4.26,11.85,77.38,5.41,32.06
2019 March,1188.61,4.49,12.51,79.33,5.77,33.05
2019 May,1208.14,4.35,12.14,80.84,7.09,32.93
2019 November,1097.85,4.57,9.65,72.26,4.36,32.72
2019 October,1132.13,4.49,11.12,72.07,5.09,32.63
2019 September,1108.23,4.35,10.44,75.42,4.66,32.34
2020 April,1194.69,4.43,12.04,81.71,6.18,32.22
2020 August,1142.55,4.21,10.86,79.48,6.12,32.95
2020 December,1168.99,4.57,12.13,83.91,5.11,28.86
2020 February,1144.90,4.49,10.81,74.39,7.11,29.18
2020 January,1207.26,4.53,11.22,75.88,6.49,40.64
2020 July,1177.03,4.25,10.05,83.25,6.06,33.13
2020 June,1157.09,4.35,9.90,82.11,3.55,34.78
2020 March,1225.39,4.52,11.81,85.99,6.98,33.25
2020 May,1215.94,4.34,11.54,84.46,5.96,32.30
2020 November,1104.02,4.53,11.29,79.22,5.40,33.43
2020 October,1136.33,4.50,12.29,82.64,7.12,32.85
2020 September,1112.53,4.33,9.66,79.72,4.43,30.27
2021 April,1182.60,4.53,13.48,83.10,9.69,33.37
2021 August,1123.39,4.29,10.96,76.88,5.58,32.65
2021 December,1121.50,4.56,11.97,78.31,8.17,31.29
2021 February,1081.79,4.60,11.57,74.55,6.74,33.32
2021 January,1187.95,4.58,13.17,83.90,7.81,35.53
2021 July,1138.41,4.23,11.23,76.98,6.79,32.57
2021 June,1128.19,4.27,10.16,77.18,8.49,32.93
2021 March,1214.58,4.57,13.38,84.30,7.21,31.27
2021 May,1213.26,4.41,11.66,83.84,10.11,33.34
2021 November,1059.60,4.53,9.58,75.36,8.46,31.66
2021 October,1087.52,4.47,11.24,77.56,5.55,31.83
2021 September,1064.52,4.34,9.11,74.81,6.39,31.88
